,Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
0,Enya,"Nova Go Carbon Fiber Acoustic Guitar 1/2 Size Beginner Adult Travel Acustica Guitarra w/Starter Bundle Kit of Colorful Packaging, Acoustic Guitar Strap, Gig Bag, Cleaning Cloth, String(Black)",189,-,-,Available,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTY2ODQ4MzA4OTI2Mzc1OjE3MjEzMjE5MDg6c3BfYXRmOjMwMDIyNTEwMjU3MzIwMjo6MDo6&url=%2FAcoustic-Beginner-Acustica-Guitarra-Packaging%2Fdp%2FB09JNWF2ZT%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.ZM-OUKInuZ7MTgm2zupmkN24Ys4kIP0Ef5MnRSapT78P5PXFMTg05v8_LZ8mhourrFPzw_3DPIHqmV1tliFRm9Dvl5L6oLTv7dUAnLvibVTzdiHdy1jo5npavrbtFWYZ7LLzszr6pBKPxQ3uiMli0sA1L7lkOo912NedalyT9KBUOSAdSmwsKefhwq2tfxdpj-RaK9Gu6AHyTWXvjsFRW88mwvp6_RYbqaDMqtxVwJFX4gGbi_PD43opc5CIs1NTZDpw7A8_OU8y4qGB2TdZJwSkeioHgrTWe337y6ftnPU.xX0z4LHqdOC7r4lFQcqPgh3gPh_TvoN7h2-tZ1cOfxc%26dib_tag%3Dse%26keywords%3DGuitar%26qid%3D1721321908%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"38""",Wood Guitar With Case and Accessories for Kids/Boys/Girls/Teens/Beginners (Sunburst),63,-,-,Available,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTY2ODQ4MzA4OTI2Mzc1OjE3MjEzMjE5MDg6c3BfYXRmOjIwMDA0NTMxNzUzNDMyMTo6MDo6&url=%2FSunburst-Guitar-Accessories-Girls-Beginners%2Fdp%2FB07H1RZNNX%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.ZM-OUKInuZ7MTgm2zupmkN24Ys4kIP0Ef5MnRSapT78P5PXFMTg05v8_LZ8mhourrFPzw_3DPIHqmV1tliFRm9Dvl5L6oLTv7dUAnLvibVTzdiHdy1jo5npavrbtFWYZ7LLzszr6pBKPxQ3uiMli0sA1L7lkOo912NedalyT9KBUOSAdSmwsKefhwq2tfxdpj-RaK9Gu6AHyTWXvjsFRW88mwvp6_RYbqaDMqtxVwJFX4gGbi_PD43opc5CIs1NTZDpw7A8_OU8y4qGB2TdZJwSkeioHgrTWe337y6ftnPU.xX0z4LHqdOC7r4lFQcqPgh3gPh_TvoN7h2-tZ1cOfxc%26dib_tag%3Dse%26keywords%3DGuitar%26qid%3D1721321908%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,Phenyx,"Pro 2.4GHz Wireless Guitar System, Digital Wireless Guitar Transmitter Receiver w/ 18 Freqeuncies, 100ft Coverage, Wireless System for Guitar Bass Electric Instruments (PDP-G)",51,-,-,Available,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTY2ODQ4MzA4OTI2Mzc1OjE3MjEzMjE5MDg6c3BfYXRmOjMwMDE3ODIxOTI0MjEwMjo6MDo6&url=%2FPhenyx-Pro-Transmitter-Freqeuncies-PDP-G%2Fdp%2FB0CSDB64Z8%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.ZM-OUKInuZ7MTgm2zupmkN24Ys4kIP0Ef5MnRSapT78P5PXFMTg05v8_LZ8mhourrFPzw_3DPIHqmV1tliFRm9Dvl5L6oLTv7dUAnLvibVTzdiHdy1jo5npavrbtFWYZ7LLzszr6pBKPxQ3uiMli0sA1L7lkOo912NedalyT9KBUOSAdSmwsKefhwq2tfxdpj-RaK9Gu6AHyTWXvjsFRW88mwvp6_RYbqaDMqtxVwJFX4gGbi_PD43opc5CIs1NTZDpw7A8_OU8y4qGB2TdZJwSkeioHgrTWe337y6ftnPU.xX0z4LHqdOC7r4lFQcqPgh3gPh_TvoN7h2-tZ1cOfxc%26dib_tag%3Dse%26keywords%3DGuitar%26qid%3D1721321908%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
3,Positive,Grid Spark 40-Watt Combo Practice Guitar Amplifier Electric Bass and Acoustic Guitar Amp with Spark Mobile App,239,-,-,Available,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTY2ODQ4MzA4OTI2Mzc1OjE3MjEzMjE5MDg6c3BfYXRmOjMwMDI4OTc5MDk1MDAwMjo6MDo6&url=%2FPositive-Grid-Amplifier-Electric-Acoustic%2Fdp%2FB08HQCG79H%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.ZM-OUKInuZ7MTgm2zupmkN24Ys4kIP0Ef5MnRSapT78P5PXFMTg05v8_LZ8mhourrFPzw_3DPIHqmV1tliFRm9Dvl5L6oLTv7dUAnLvibVTzdiHdy1jo5npavrbtFWYZ7LLzszr6pBKPxQ3uiMli0sA1L7lkOo912NedalyT9KBUOSAdSmwsKefhwq2tfxdpj-RaK9Gu6AHyTWXvjsFRW88mwvp6_RYbqaDMqtxVwJFX4gGbi_PD43opc5CIs1NTZDpw7A8_OU8y4qGB2TdZJwSkeioHgrTWe337y6ftnPU.xX0z4LHqdOC7r4lFQcqPgh3gPh_TvoN7h2-tZ1cOfxc%26dib_tag%3Dse%26keywords%3DGuitar%26qid%3D1721321908%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
4,Enya,"Nova Go Carbon Fiber Acoustic Guitar 1/2 Size Beginner Adult Travel Acustica Guitarra w/Starter Bundle Kit of Colorful Packaging, Acoustic Guitar Strap, Gig Bag, Cleaning Cloth, String(Black)",189,-,-,Available,https://www.amazon.com/Acoustic-Beginner-Acustica-Guitarra-Packaging/dp/B09JNWF2ZT/ref=sr_1_5?dib=eyJ2IjoiMSJ9.ZM-OUKInuZ7MTgm2zupmkN24Ys4kIP0Ef5MnRSapT78P5PXFMTg05v8_LZ8mhourrFPzw_3DPIHqmV1tliFRm9Dvl5L6oLTv7dUAnLvibVTzdiHdy1jo5npavrbtFWYZ7LLzszr6pBKPxQ3uiMli0sA1L7lkOo912NedalyT9KBUOSAdSmwsKefhwq2tfxdpj-RaK9Gu6AHyTWXvjsFRW88mwvp6_RYbqaDMqtxVwJFX4gGbi_PD43opc5CIs1NTZDpw7A8_OU8y4qGB2TdZJwSkeioHgrTWe337y6ftnPU.xX0z4LHqdOC7r4lFQcqPgh3gPh_TvoN7h2-tZ1cOfxc&dib_tag=se&keywords=Guitar&qid=1721321908&sr=8-5
5,Fender,"Acoustic Guitar, CD-60S, with 2-Year Warranty, Dreadnought Classic Design with Rounded Walnut Fingerboard, Glossed Finish, All-Mahogany Construction",-,,-,Not Available,https://www.amazon.com/Fender-CD-60S-Dreadnought-Acoustic-Guitar/dp/B07FYBLG93/ref=sr_1_6?dib=eyJ2IjoiMSJ9.ZM-OUKInuZ7MTgm2zupmkN24Ys4kIP0Ef5MnRSapT78P5PXFMTg05v8_LZ8mhourrFPzw_3DPIHqmV1tliFRm9Dvl5L6oLTv7dUAnLvibVTzdiHdy1jo5npavrbtFWYZ7LLzszr6pBKPxQ3uiMli0sA1L7lkOo912NedalyT9KBUOSAdSmwsKefhwq2tfxdpj-RaK9Gu6AHyTWXvjsFRW88mwvp6_RYbqaDMqtxVwJFX4gGbi_PD43opc5CIs1NTZDpw7A8_OU8y4qGB2TdZJwSkeioHgrTWe337y6ftnPU.xX0z4LHqdOC7r4lFQcqPgh3gPh_TvoN7h2-tZ1cOfxc&dib_tag=se&keywords=Guitar&qid=1721321908&sr=8-6
6,Pyle,"Beginner Acoustic Guitar Kit, 3/4 Junior Size All Wood Instrument for Kids, Adults, 36"" Natural Wood Gloss",-,-,-,Not Available,https://www.amazon.com/Pyle-Beginner-Acoustic-Instrument-Natural/dp/B0CG9YZW27/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ZM-OUKInuZ7MTgm2zupmkN24Ys4kIP0Ef5MnRSapT78P5PXFMTg05v8_LZ8mhourrFPzw_3DPIHqmV1tliFRm9Dvl5L6oLTv7dUAnLvibVTzdiHdy1jo5npavrbtFWYZ7LLzszr6pBKPxQ3uiMli0sA1L7lkOo912NedalyT9KBUOSAdSmwsKefhwq2tfxdpj-RaK9Gu6AHyTWXvjsFRW88mwvp6_RYbqaDMqtxVwJFX4gGbi_PD43opc5CIs1NTZDpw7A8_OU8y4qGB2TdZJwSkeioHgrTWe337y6ftnPU.xX0z4LHqdOC7r4lFQcqPgh3gPh_TvoN7h2-tZ1cOfxc&dib_tag=se&keywords=Guitar&qid=1721321908&sr=8-7
7,Yamaha,"FG800J Solid Top Dreadnought Acoustic Guitar, Natural",-,-,-,Not Available,https://www.amazon.com/Yamaha-FG800J-Dreadnought-Acoustic-Natural/dp/B0BYFC65L7/ref=sr_1_8?dib=eyJ2IjoiMSJ9.ZM-OUKInuZ7MTgm2zupmkN24Ys4kIP0Ef5MnRSapT78P5PXFMTg05v8_LZ8mhourrFPzw_3DPIHqmV1tliFRm9Dvl5L6oLTv7dUAnLvibVTzdiHdy1jo5npavrbtFWYZ7LLzszr6pBKPxQ3uiMli0sA1L7lkOo912NedalyT9KBUOSAdSmwsKefhwq2tfxdpj-RaK9Gu6AHyTWXvjsFRW88mwvp6_RYbqaDMqtxVwJFX4gGbi_PD43opc5CIs1NTZDpw7A8_OU8y4qGB2TdZJwSkeioHgrTWe337y6ftnPU.xX0z4LHqdOC7r4lFQcqPgh3gPh_TvoN7h2-tZ1cOfxc&dib_tag=se&keywords=Guitar&qid=1721321908&sr=8-8
8,First,"Act Acoustic Sunburst Guitar, 30 Inch - Brass Acoustic Guitar Strings, Tuning Gear, String Post Covers, Steel-Reinforced Neck, Strap Buttons – Musical Instruments",39,-,-,Available,https://www.amazon.com/First-Act-Acoustic-Sunburst-Guitar/dp/B085TC842Z/ref=sr_1_9?dib=eyJ2IjoiMSJ9.ZM-OUKInuZ7MTgm2zupmkN24Ys4kIP0Ef5MnRSapT78P5PXFMTg05v8_LZ8mhourrFPzw_3DPIHqmV1tliFRm9Dvl5L6oLTv7dUAnLvibVTzdiHdy1jo5npavrbtFWYZ7LLzszr6pBKPxQ3uiMli0sA1L7lkOo912NedalyT9KBUOSAdSmwsKefhwq2tfxdpj-RaK9Gu6AHyTWXvjsFRW88mwvp6_RYbqaDMqtxVwJFX4gGbi_PD43opc5CIs1NTZDpw7A8_OU8y4qGB2TdZJwSkeioHgrTWe337y6ftnPU.xX0z4LHqdOC7r4lFQcqPgh3gPh_TvoN7h2-tZ1cOfxc&dib_tag=se&keywords=Guitar&qid=1721321908&sr=8-9
9,Yamaha,"C40II Classical Guitar, Full Size, Natural",-,-,-,Not Available,https://www.amazon.com/YAMAHA-C40II-Yamaha-Classical-Guitar/dp/B005B6EZ36/ref=sr_1_10?dib=eyJ2IjoiMSJ9.ZM-OUKInuZ7MTgm2zupmkN24Ys4kIP0Ef5MnRSapT78P5PXFMTg05v8_LZ8mhourrFPzw_3DPIHqmV1tliFRm9Dvl5L6oLTv7dUAnLvibVTzdiHdy1jo5npavrbtFWYZ7LLzszr6pBKPxQ3uiMli0sA1L7lkOo912NedalyT9KBUOSAdSmwsKefhwq2tfxdpj-RaK9Gu6AHyTWXvjsFRW88mwvp6_RYbqaDMqtxVwJFX4gGbi_PD43opc5CIs1NTZDpw7A8_OU8y4qGB2TdZJwSkeioHgrTWe337y6ftnPU.xX0z4LHqdOC7r4lFQcqPgh3gPh_TvoN7h2-tZ1cOfxc&dib_tag=se&keywords=Guitar&qid=1721321908&sr=8-10
