,Brand Name,Smartphone Name,Color,RAM,Storage(ROM),Primary Camera,Secondary Camera,Display size,Battery capacity,Price,Product URL
0,Motorola,g64 5G ,Ice Lilac,8 GB RAM , 128 GB ROM ,50MP (OIS) + 8MP , 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Battery,"₹13,999",https://www.flipkart.com/motorola-g64-5g-ice-lilac-128-gb/p/itm36e3ccb6c9dee?pid=MOBGY2JUZHAXQ8ZG&lid=LSTMOBGY2JUZHAXQ8ZGKQ5SOK&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=306d1818-dae2-44f8-ad0a-5c113c6d9f99.MOBGY2JUZHAXQ8ZG.SEARCH&ppt=hp&ppn=homepage&ssid=h34b21elkw0000001721158226971&qH=1036ba3c4ed2c021
1,Motorola,G34 5G ,Ice Blue,8 GB RAM , 128 GB ROM,50MP + 2MP , 16MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,"₹11,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=306d1818-dae2-44f8-ad0a-5c113c6d9f99.MOBGUFK4P2H9CY7Y.SEARCH&ppt=hp&ppn=homepage&ssid=h34b21elkw0000001721158226971&qH=1036ba3c4ed2c021
2,Motorola,G34 5G ,Ocean Green,8 GB RAM , 128 GB ROM,50MP + 2MP , 16MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,"₹11,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=306d1818-dae2-44f8-ad0a-5c113c6d9f99.MOBGUFK4TZ2CJYHJ.SEARCH&ppt=hp&ppn=homepage&ssid=h34b21elkw0000001721158226971&qH=1036ba3c4ed2c021
3,Motorola,g64 5G ,Mint Green,8 GB RAM , 128 GB ROM ,50MP (OIS) + 8MP , 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Battery,"₹13,999",https://www.flipkart.com/motorola-g64-5g-mint-green-128-gb/p/itm6dfa6fef0e50a?pid=MOBGY2JUK2JQHPYK&lid=LSTMOBGY2JUK2JQHPYKRPLV1S&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=306d1818-dae2-44f8-ad0a-5c113c6d9f99.MOBGY2JUK2JQHPYK.SEARCH&ppt=hp&ppn=homepage&ssid=h34b21elkw0000001721158226971&qH=1036ba3c4ed2c021
4,POCO,M6 Pro 5G ,Power Black,6 GB RAM , 128 GB ROM ,50MP + 2MP , 8MP Front Camera,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,"₹9,999",https://www.flipkart.com/poco-m6-pro-5g-power-black-128-gb/p/itmef8fa46f89738?pid=MOBGRNZ3ER4N3K4F&lid=LSTMOBGRNZ3ER4N3K4FIYYGCU&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=306d1818-dae2-44f8-ad0a-5c113c6d9f99.MOBGRNZ3ER4N3K4F.SEARCH&ppt=hp&ppn=homepage&ssid=h34b21elkw0000001721158226971&qH=1036ba3c4ed2c021
5,Motorola,g64 5G ,Pearl Blue,8 GB RAM , 128 GB ROM ,50MP (OIS) + 8MP , 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Battery,"₹13,999",https://www.flipkart.com/motorola-g64-5g-pearl-blue-128-gb/p/itm68710cef5104b?pid=MOBGY2JU53P3KMG9&lid=LSTMOBGY2JU53P3KMG9IXP4DQ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=306d1818-dae2-44f8-ad0a-5c113c6d9f99.MOBGY2JU53P3KMG9.SEARCH&ppt=hp&ppn=homepage&ssid=h34b21elkw0000001721158226971&qH=1036ba3c4ed2c021
6,Motorola,G34 5G ,Charcoal Black,8 GB RAM , 128 GB ROM,50MP + 2MP , 16MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,"₹11,999",https://www.flipkart.com/motorola-g34-5g-charcoal-black-128-gb/p/itmcf3922f5c94b2?pid=MOBGUFK4QPQMAA2S&lid=LSTMOBGUFK4QPQMAA2SCAYBBS&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=306d1818-dae2-44f8-ad0a-5c113c6d9f99.MOBGUFK4QPQMAA2S.SEARCH&ppt=hp&ppn=homepage&ssid=h34b21elkw0000001721158226971&qH=1036ba3c4ed2c021
7,OnePlus,Nord CE 3 Lite 5G ,Chromatic Gray,8 GB RAM , 128 GB ROM,108MP Rear Camera,-,17.07 cm (6.72 inch) Display,5000 mAh Battery,"₹17,020",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ42KHUZZKMN&lid=LSTMOBGZJ42KHUZZKMNCCJTRI&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=306d1818-dae2-44f8-ad0a-5c113c6d9f99.MOBGZJ42KHUZZKMN.SEARCH&ppt=hp&ppn=homepage&ssid=h34b21elkw0000001721158226971&qH=1036ba3c4ed2c021
8,OnePlus,Nord CE 3 Lite 5G ,Pastel Lime,8 GB RAM , 128 GB ROM,108MP Rear Camera,-,17.07 cm (6.72 inch) Display,5000 mAh Battery,"₹17,048",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ3WM5SGTGVZ&lid=LSTMOBGZJ3WM5SGTGVZSKDCXZ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=306d1818-dae2-44f8-ad0a-5c113c6d9f99.MOBGZJ3WM5SGTGVZ.SEARCH&ppt=hp&ppn=homepage&ssid=h34b21elkw0000001721158226971&qH=1036ba3c4ed2c021
9,REDMI,13C ,Starshine Green,4 GB RAM , 128 GB ROM ,50MP Rear Camera , 8MP Front Camera,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,"₹7,699",https://www.flipkart.com/redmi-13c-starshine-green-128-gb/p/itmc4f0763fb3a50?pid=MOBGW4HKUXHFDYU2&lid=LSTMOBGW4HKUXHFDYU2WMFCCU&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=306d1818-dae2-44f8-ad0a-5c113c6d9f99.MOBGW4HKUXHFDYU2.SEARCH&ppt=hp&ppn=homepage&ssid=h34b21elkw0000001721158226971&qH=1036ba3c4ed2c021
